GRD Ref,Parent,Source Title,Short Source Title,Source Description,Archival Ref,Archive,Type
DD117,,"Deed relating to Horton in Ribblesdale, 11 October 1707","Deed relating to Horton in Ribblesdale, 1707",,YAS/DD117/5,"Special Collections, Brotherton Library, University of Leeds",Archival
DD118,,"Deed relating to Halifax, 4 February 1834","Deed relating to Halifax, 1834",,YAS/DD118/16,"Special Collections, Brotherton Library, University of Leeds",Archival
DD147,,"Will of Mrs Jane Simpson, Kilham, made 10 December 1772","Jane Simpson's Will, 1772",,YAS/DD117/K5/199,"Special Collections, Brotherton Library, University of Leeds",Archival
DD181,,Records of the manor of Shelley,Manor of Shelley,,YAS/DD181,"Special Collections, Brotherton Library, University of Leeds",Archival
DD181/15,,"Copy of court roll for Manor of Shelley, 17-18 October 1759","Copy of Shelley Manor court roll, 1759",,YAS/DD181/15,"Special Collections, Brotherton Library, University of Leeds",Archival
DD203,,"Lease from John Lambart to Christopher Lambart, Skipton in Craven, 25 June 1533","Lease, Skipton in Craven, 1533",,DD203/65,"Special Collections, Brotherton Library, University of Leeds",Archival
DD4,,"Grey, Earl of Wilton Collection",Earl of Wilton Collection,,YAS/DD4,"Special Collections, Brotherton Library, University of Leeds",Archival
DD4/15,,"Memo between Mr John Copley of Batley Hall and William Harrison, 1 May 1644","Memo between Copley and Harrison, 1644",,YAS/DD4/194,"Special Collections, Brotherton Library, University of Leeds",Archival
DD70/56,,,,,,,Archival
DDMa,,East Malham manor court rolls,East Malham court rolls,,DDMa/9 and 17,Lancashire Record Office,Archival
DT,,The Dartmouth Estate records,Dartmouth Estate records,,,West Yorkshire Archive Service: Leeds,Archival
DT/161,,"Woodsome cum Farnley Tyas manor court roll, 1572","Woodsome cum Farnley Tyas manor court roll, 1572",,DT/161,West Yorkshire Archive Service: Leeds,Archival
DT/179,,"Woodsome cum Farnley Tyas manor court roll, 1583-1611","Woodsome cum Farnley Tyas manor court roll, 1583-1611",,DT/179,West Yorkshire Archive Service: Leeds,Archival
DT/211,,"Papers in suit of John Kay v. Thomas Crosland, Thomas Oldham and Richard Berrie for breaking into and removing turfes, 1628","Papers in suit concerning breaking into and removing turfes, 1628",,DT/211,West Yorkshire Archive Service: Leeds,Archival
DT/266,,"Papers in suit of Thomas Fenay v. John Kaye concerning Fenay Mill Dam, 17th century","Papers in suit of Thomas Fenay v. John Kaye, 17th century",,DT/266,West Yorkshire Archive Service: Leeds,Archival
DT/286,,"Slaithwaite with Lingard Court Baron, 1635","Slaithwaite with Lingard Court Baron, 1635",,DT/286,West Yorkshire Archive Service: Leeds,Archival
DT/257,,"Feoffment: Thomas de Wiccakerras senior to his brother Thomas de Wiccakerres and Alice his wife of a piece of land, 28 January 1346/7","Feoffment: Thomas de Wiccakerras elder to his brother Thomas and Alice his wife, 1346/7",,DT/257,West Yorkshire Archive Service: Leeds,Archival
DT/287,,"Slaithwaite with Lingards Court Baron, 1679","Slaithwaite with Lingards Court Baron, 1679",,DT/287,West Yorkshire Archive Service: Leeds,Archival
DT/288,,"Honley Court Baron, 1673","Honley Court Baron, 1673",,DT/288,West Yorkshire Archive Service: Leeds,Archival
DT/305,,Dartmouth Estate: Miscellaneous correspondence,Dartmouth Estate: Misc correspondence,,DT/305,West Yorkshire Archive Service: Leeds,Archival
DT/305/1/25/2,,Dartmouth Estate: Miscellaneous correspondence,Dartmouth Estate: Misc correspondence,,DT/305/1/25/2,West Yorkshire Archive Service: Leeds,Archival
EH/68,,"Sir Matthew Wilson of Eshton Hall, Gargrave, Family and Estate Archive",Eshton Hall Papers,,68D82,West Yorkshire Archive Service: Bradford,Archival
EH/68D82,,"Sir Matthew Wilson of Eshton Hall, Gargrave, Family and Estate Archive",Eshton Hall Papers,,68D82,West Yorkshire Archive Service: Bradford,Archival
EH/68D82/4/9/8,,"Letter from Richard Richardson of Bierley to John Gisburn of Preston concerning coal and wood on the Park House Estate, 24 December 1756","Letter from Richard Richardson to John Gisburn, December 1756",,68D82/4/a/8,West Yorkshire Archive Service: Bradford,Archival
G-A,,Green-Armytage papers,Green-Armytage Papers,In private ownership. ,,Private collection,Archival
GRD,,Dr George Redmonds' papers.,George Redmonds Papers,A collection of documents in the possession of the author.,,Private collection,Archival
HM,,The Horton Mss. ,Horton Mss,"References are drawn from the five series of title deeds and court rolls, A to E.",,West Yorkshire Archive Service: Bradford,Archival
HOW,,"Redmonds, G. The Heirs of Woodsome and other essays in local history, Huddersfield (1982).","Redmonds, Heirs of Woodsome",,,,Archival
HP,,"The Memorandum Books of Henry Power, 1654-88. ",Henry Power's Memorandum Book,"From transcriptions loaned to Dr Redmonds by Jennifer Stead. Some transcripts are available at West Yorkshire Archive Service: Wakefield, under reference Z143. ",,British Museum,Archival
I/Ho,,Inclosure award and map for Honley. ,Honey inclosure,,,West Yorkshire Archive Service.: Kirklees,Archival
I/Hu,,Inclosure award and map for Huddersfield.,Huddersfield inclosure,,,West Yorkshire Archive Service.: Kirklees,Archival
IH,,A collection of material relating to south Yorkshire.,South Yorkshire collection,"Mostly testamentary, relating to Sheffield to as far north as Holmfirth,Transcribed by David Hey.",,GRD,Archival
IMF,,A collection of material relating to Colne Valley.,Colne Valley collection,A collection of testamentary material for the Colne Valley; the work of Mary and Margaret Freeman of Slaithwaite who loaned me their translations and transcriptions.,,Huddersfield Library,Archival
Ingilby,,"Ingilby of Ripley Castle, Family and Estate records.",Ingilby family records,,WYL230,West Yorkshire Archive Service: Leeds,Archival
JG,,"Newland Mss, The John Goodchild Collection,",Newland Mss,,,West Yorkshire Archive Service: Wakefield,Archival
JH,,"Jagger, M.A. The History of Honley, Huddersfield (1914, facsimile ed. 1985).","Jagger, History of Honley",,,,Archival
KayeCP,,The Kaye Commonplace Book,Kaye Commonplace Book,"The title given to a collection of memoranda, account books, etc, started by John Kaye of Woodsome, c.1570. Huddersfield Public Library has a microfilm copy.",X.d.445-449; W.b.482-489,Folger Library,Archival
KayeD,,The Diary of Dr Kaye ,Dr Kaye's Diary,Huddersfield Public Library has a microfilm copy.,Ms Radcliffe Trust g.1,Bodleian Library,Archival
KC6/15,,"Kidd, Mellor and Fletcher, solicitors, Holmfirth","Kidd, Mellor and Fletcher",,KC1020,West Yorkshire Archive Service: Kirklees,Archival
KC242/1,,The diary of the Rev. J. Murgatroyd,Rev. Murgatroyd's diary,,,West Yorkshire Archive Service: Kirklees,Archival
KC271,,Thurstonland township records,Thurstonland records,,,West Yorkshire Archive Service: Kirklees,Archival
KC311,,"Deeds relating to Shelley, Shepley, Thurstonland","Shelley, Shepley, Thurstonland deeds",,,West Yorkshire Archive Service: Kirklees,Archival
KC315,,"Deeds relating to Shelley, Shepley, Thurstonland","Shelley, Shepley, Thurstonland deeds",,,West Yorkshire Archive Service: Kirklees,Archival
KHT9,,"Minutes of the Paving Committee, Huddersfield Borough",Huddersfield Paving Committee ,,,West Yorkshire Archive Service: Kirklees,Archival
KM,,The Armytage family records or the Kirklees Muniments With item number.,Kirklees Muniments,,,West Yorkshire Archive Service: Calderdale,Archival
KX390,,"Extracts from the diary of Jamie Hirst of Pole Moor, Slaithwaite",Jamie Hirst's diary,,,West Yorkshire Archive Service: Kirklees,Archival
LC,,"Caffyn, L. Workers’ Housing in West Yorkshire 1750-1920, HMSO, London (1986).","Caffyn, Workers Housing",,,,Archival
LMN,,"Newman, C.M. Late Medieval Northallerton, Stamford (1999).","Newman, Northallerton",,,,Archival
M,,Maps consulted in Huddersfield Public Library: ,Maps at Huddersfield Library,"Bradley 1829; Dalton 1811; Huddersfield 1820; Honley 1838; Lepton 1720, 1779; Liley 1829; Lindley 1609; Whitley 1793.",,Huddersfield Public Library,Archival
M55,,Thurstonland documents. The John Goodchild Collection,Thurstonland documents,,,West Yorkshire Archive Service: Wakefield,Archival
MC,,"Ashcroft, M.Y. & Jones, E.A. (eds), Monastic Charters in the North Yorkshire County Record Office, 2 vols, Chippenham (2009). ","Ashcroft & Jones, Monastic Charters",,,,Archival
M/D,,Manorial court rolls for Dalton 1483-1581,Dalton court rolls 1483-1581,,DD/R/M/D,West Yorkshire Archive Service: Kirklees,Archival
MD,,Original documents formerly held by the Yorkshire Archaeological Society ,YAS original documents,"They have now been moved to the Brotherton Library, Leeds University. The documents are catalogued in a Guide to the Archive Collections published in 1985 and a reprinted volume of 1931. This has been updated online. ",,"Special Collections, Brotherton Library, University of Leeds",Archival
MH/DC,,"Hambrecht, M. (ed.) Aliases from the Dean and Chapter’s Court, York 1417-1794, a transcript gifted to the author","Hambrecht, Aliases from Dean and Chapter",,,,Archival
MM,,Miscellaneous Mss,Miscellaneous Mss,"References identify documents by number in sections A to C, for example MM/A/91.",,West Yorkshire Archive Service: Bradford,Archival
MM82,,"The family papers of the Richardsons of North Bierley, 1478-1834",Richardsons family papers,,,West Yorkshire Archive Service: Bradford,Archival
MMF,,A collection of material for the Colne Valley,Colne Valley material,"The work of Mary and Margaret Freeman of Slaithwaite who loaned me their translations and transcriptions of court rolls, deeds, etc.",,Huddersfield Library,Archival
MPC235,,"Map of Ingleton, Ingleborough Fell, Moughton and other unclaimed lands divided between the inhabitants of Austwick Wharfe, 'Cromock' and 'Selside' 1619",Map of Austwick: Ingleton etc 1619,"A map in the TNA of the commons on Moughton and Ingleborough, disputed between 1) the tenants of Newby and Selside and 2) those of Clapham and Austwick, 1619.",MPC 1/235,The National Archives,Archival
MS,,Manuscripts formerly held by the Yorkshire Archaeological Society,YAS manuscripts,These letters identify manuscript collections formerly held by the Yorkshire Archaeological Society.,,"Special Collections, Brotherton Library, University of Leeds",Archival
Mss,,"The Tong Mss, records of the Tempest family of Tong",Tong Mss,,,West Yorkshire Archive Service: Bradford,Archival
Online,,Material found in local and family history items on the internet.,Online local and family history material,,,,Archival
PRE,,"W E Preston, genealogical and historical notes",W E Preston's notes,,,West Yorkshire Archive Service: Bradford,Archival
QD,,Records of the Clerk of the Peace,Clerk of the Peace records,,,West Yorkshire Archive Service: Wakefield,Archival
QS,,"The Quarter Sessions Records of the West Riding of Yorkshire, 1637-1971",Quarter Sessions of the West Riding,,,West Yorkshire Archive Service: Wakefield,Archival
RAD,,Radcliffe family papers,Radcliffe family,,,West Yorkshire Archive Service: Leeds,Archival
RD,,"The West Riding Registry of Deeds, 1704-1970",West Riding Deeds Registry,,,West Yorkshire Archive Service: Wakefield,Archival
RT,,Records of West Riding turnpike trusts,West Riding turnpike trusts,,,West Yorkshire Archive Service: Wakefield,Archival
SIR,,The Staveley Ironworks Records. ,Staveley Ironworks,References from Dr David Hey.,,Sheffield City Archives,Archival
SpSt,,"Spencer Stanhope of Horsforth, Family and Estate Records",Spencer-Stanhope papers,,SpSt,West Yorkshire Archive Service: Bradford,Archival
SpSt/5/4/1/5,,Colliery account book of John Stanhope 1726-1730,John Stanhope's colliery accounts 1726-1730,,SpSt/5/4/1/5,West Yorkshire Archive Service: Bradford,Archival
SpSt/5/4/1/8,,Colliery account book of John Stanhope 1731-1732,John Stanhope's colliery accounts 1731-1732,,SpSt/5/4/1/8,West Yorkshire Archive Service: Bradford,Archival
SpSt/6/4/2,,"Inventory of Henry Thompson late of Esholt, 22 June 1561","Henry Thompson's inventory, 1561",,SpSt/6/4/2,West Yorkshire Archive Service: Bradford,Archival
SpSt/5/2/7,,"Letters concerning Rawdon Estate matters, 1640-1668","Rawdon estate letters, 1640-1668",,SpSt/5/2/7,West Yorkshire Archive Service: Bradford,Archival
WB,,"Beaumont of Whitley, family and estate records",Beaumont of Whitley,,DD/WB,West Yorkshire Archive Service: Kirklees,Archival
WBD/1/71,,"Bargain and sale of land in Huddersfield, Almondury and Dodworth, 15 December 1545","Bargain and sale in Huddersfield, 1545",,DD/WBD/I/71,West Yorkshire Archive Service: Kirklees,Archival
WBD/2/26,,"Lease for 16 years of land at South Crosland, 15 April 1509","Lease for South Crosland, 1509",,DD/WBD/II/26,West Yorkshire Archive Service: Kirklees,Archival
WBD/2/30,,"Lease for 16 years of land at South Crosland, 15 April 1509","Lease for South Crosland, 1509",,DD/WBD/II/30,West Yorkshire Archive Service: Kirklees,Archival
WBD/2/36,,"Lease for 21 years of land at South Crosland, 1 March 1524","Lease for South Crosland, 1524",,DD/WBD/II/36,West Yorkshire Archive Service: Kirklees,Archival
WBD/2/45,,"Lease for 17 years of land at South Crosland, 3 November 1599","Lease for South Crosland, 1599",,DD/WBD/II/45,West Yorkshire Archive Service: Kirklees,Archival
WBD/2/63,,"Lease for 21 years of land at South Crosland, 21 December 1652","Lease for South Crosland, 1652",,DD/WBD/II/63,West Yorkshire Archive Service: Kirklees,Archival
WBD/2/81,,"Articles of agreement relating to land at South Crosland, 12 November 1666","Articles of agreement South Crosland, 1666",,DD/WBD/II/81,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/130,,"Lease for 21 years of land at Kirkheaton, 6 October 1651","Lease of land at Kirkheaton, 1651",,DD/WBD/III/130,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/184,,"Lease for 21 years of land at Kirkheaton, 1699","Lease of land at Kirkheaton, 1699",,DD/WBD/III/184,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/222,,"Lease for 21 years of land at Kirkheaton, 3 September 1792","Lease of land at Kirkheaton, 1792",,DD/WBD/III/222,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/264,,"Declarations relating to property at Houses Hill, Kirkheaton, 1871","Declarations relating to Kirkheaton, 1871",,DD/WBD/III/264a-b,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/32,,"Bargain and sale of one and a half years of land in Kirkheaton, 9 May 1526","Bargain and sale in Kirkheaton, 1526",,DD/WBD/III/32,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/52,,"Lease for 21 years of land at Kirkheaton, 4 October 1579","Lease of land at Kirkheaton, 1579",,DD/WBD/III/52,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/72,,"Quitclaim relating to land at Kirkheaton, 23 June 1594","Quitclaim of land at Kirkheaton, 1594",,DD/WBD/III/72,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/77a,,"Bargain and sale of land at Kirkheaton, 30 April 1601","Bargain and sale of land at Kirkheaton, 1601",,DD/WBD/III/77a,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/88,,"Lease for 21 years of land at Kirkheaton, 1 May 1609","Lease of land at Kirkheaton, 1609",,DD/WBD/III/88,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/96,,"Lease for 500 years of land at Kirkheaton, 31 August 1616","Lease of land at Kirkheaton, 1616",,DD/WBD/III/96,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/125,,"Lease for 30 years of land in Lepton, 27 December 1556","Lease of land in Lepton, 1556",,DD/WBD/IV/125,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/181,,"Bargain and sale of land in Lepton, 28 August 1638","Bargain and sale of land in Lepton, 1638",,DD/WBD/IV/181,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/193,,"Lease for 99 years of land in Lepton, 23 December 1650","Lease of land in Lepton, 1650",,DD/WBD/IV/193,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/194,,"Lease for 99 years of land in Lepton, 23 December 1650","Lease of land in Lepton, 1650",,DD/WBD/IV/194,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/202,,"Lease for 21 years of land in Lepton, 25 February 1652","Lease of land in Lepton, 1652",,DD/WBD/IV/202,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/212,,"Lease for 20 years of land in Lepton, 30 April 1664","Lease of land in Lepton, 1664",,DD/WBD/IV/212,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/314,,"Inventory of contents of somewhere in Gawthorpe, 19 September 1684","Inventory of contents in Gawthorpe, 1684",,DD/WBD/IV/314a,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/320,,"Lease for 11 years of Coal Pitts in Lepton, 12 November 1739","Lease of Coal Pitts in Lepton, 1739",,DD/WBD/IV/320,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/5,,"Feoffment of five birdals adjoining the town of Lepton, [13th century]","Feoffment of five birdals, Lepton",,DD/WBD/IV/5,West Yorkshire Archive Service: Kirklees,Archival
WBD/6/11,,"Lease for 21 years of land in Mirfield, 18 July 1577","Lease of land in Mirfield, 1577",,DD/WBD/VI/11,West Yorkshire Archive Service: Kirklees,Archival
WBD/7/11,,"Confirmation relating to land in Almondbury, 20 July 1502","Confirmation of land in Almondbury, 1502",,DD/WBD/VII/11,West Yorkshire Archive Service: Kirklees,Archival
WBD/8/10,,"Lease for 23 years of land in Huddersfield, 14 November 1436","Lease of land in Huddersfield, 1436",,DD/WBD/VIII/10,West Yorkshire Archive Service: Kirklees,Archival
WBD/8/56,,"Lease for 1000 years of land in Huddersfield, 21 October 1611","Lease of land in Huddersfield, 1611",,DD/WBD/VIII/56,West Yorkshire Archive Service: Kirklees,Archival
WBD/8/60,,"Bargain and sale in Bradley, 30 April 1549","Bargain and sale in Bradley, 1549",,DD/WBD/VIII/60,West Yorkshire Archive Service: Kirklees,Archival
WBD/8/82,,"Lease for seven years of a shop in Huddersfield, 4 November 1606","Lease of a shop in Huddersfield, 1606",,DD/WBD/VIII/82,West Yorkshire Archive Service: Kirklees,Archival
WBD/9/34,,"Bargain and sale of land in Whitley, 12 June 1621","Bargain and sale of land in Whitley, 1621",,DD/WBD/IX/34,West Yorkshire Archive Service: Kirklees,Archival
WBD/9/7,,"Feoffment of land in Whitley, 7 June 1433","Feoffment of land in Whitley, 1433",,DD/WBD/IX/7,West Yorkshire Archive Service: Kirklees,Archival
WBD/9/8,,"Memorandum of exchange of lands in Whitley, 1437-1438",Memorandum exchange of land 1437-38,,DD/WBD/IX/8,West Yorkshire Archive Service: Kirklees,Archival
WBD/12/4,,"Exchange of land near Nethirholes [Mirfield], 1405-1406",Exchange of land Mirfield 1405-1406,,DD/WBD/XII/4,West Yorkshire Archive Service: Kirklees,Archival
WBD/2/44,,"Bargain and sale of land at South Crosland, 24 April 1547",Bargain and sale of land at South Crosland 1547,,DD/WBD/II/44,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/32,,"Bargain and sale of one and a half years of land in Kirkheaton, 9 May 1526","Bargain and sale of land at Kirkheaton, 1526",,DD/WBD/III/32,West Yorkshire Archive Service: Kirklees,Archival
WBD/3/63,,"Bargain and sale of land at Kirkheaton, July 1589","Bargain and sale of land at Kirkheaton, 1589",,DD/WBD/III/63,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/123,,"Feoffment of land in Lepton for life, 26 August 1553","Feoffment of land in Lepton, 1553",,DD/WBD/IV/123,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/156,,"Agreement relating to land in Lepton, 20 October 1604","Agreement relating to land in Lepton, 1604",,DD/WBD/IV/156,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/6,,"Feoffment of a rent of 6d for three acres of land in the fields of Lepton, 13th century","Feoffment of land in Lepton, 13th century",,DD/WBD/IV/6,West Yorkshire Archive Service: Kirklees,Archival
WBD/4/77,,"Lease for 24 years of land at Lepton, 12 August 1529","Lease of land at Lepton, 1529",,DD/WBD/IV/77,West Yorkshire Archive Service: Kirklees,Archival
WBD/7/62,,"Admission to copyhold land in Meltham, 17 July 1432","Admission to copyhold in Meltham, 1432",,DD/WBD/VII/62,West Yorkshire Archive Service: Kirklees,Archival
WBD8/43,,"Lease for 16 years of land in Huddersfield, 3 January 1542","Lease of land in Huddersfield, 1542",,DD/WBD/VIII/43,West Yorkshire Archive Service: Kirklees,Archival
WBE/1,,"Gift of annual rent charge of 12s 4d, 6 May 1347","Gift of annual rent charge, 1347",,DD/WBE/1,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/10,,"Rental with accounts, 1736-1737","Rental with accounts, 1736-37",,DD/WBE/I/10,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/107,,"Accounts, 1794-1795","Accounts, 1794-95",,DD/WBE/I/107,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/108,,"Rental, 1795","Rental, 1795",,DD/WBE/I/108,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/11,,"Rental with accounts, 1737-1738","Rental with accounts, 1737-38",,DD/WBE/I/11,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/12,,"Rental with accounts, 1738-1739","Rental with accounts, 1738-1739",,DD/WBE/I/12,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/13,,"Rental with accounts, 1739-1740","Rental with accounts, 1739-1740",,DD/WBE/I/13,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/130,,"Notebook and diary, 1598-1704","Notebook and diary, 1598-1704",,DD/WBE/I/130,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/14,,"Rental with accounts, 1740-1741","Rental with accounts, 1740-1741",,DD/WBE/I/14,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/18,,"Rental with accounts, 1743-1744","Rental with accounts, 1743-1744",,DD/WBE/I/18,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/19,,"Rental with accounts, 1744-1745","Rental with accounts, 1744-1745",,DD/WBE/I/19,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/20,,"Rental with accounts, 1745-1746","Rental with accounts, 1745-1746",,DD/WBE/I/20,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/21,,"Rental with accounts, 1746-1747","Rental with accounts, 1746-1747",,DD/WBE/I/21,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/25,,"Rental with accounts, 1750-1751","Rental with accounts, 1750-1751",,DD/WBE/I/25,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/47,,"Rental with accounts, 1761-1762","Rental with accounts, 1761-1762",,DD/WBE/I/47,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/5,,"Rental with accounts, 1731-1732","Rental with accounts, 1731-1732",,DD/WBE/I/5,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/6,,"Rental with accounts, 1732-1733","Rental with accounts, 1732-1733",,DD/WBE/I/6,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/8,,"Rental with accounts, 1734-1735","Rental with accounts, 1734-1735",,DD/WBE/I/8,West Yorkshire Archive Service: Kirklees,Archival
WBE/1/82,,"Accounts, 1781-1782","Accounts, 1781-1782",,DD/WBE/I/82,West Yorkshire Archive Service: Kirklees,Archival
WBE/32,,"Field book of lands in Whitley, Lepton, Kirkheaton, Dalton and Mirfield, 1720","Field book of lands, 1720",,DD/WBE/32,West Yorkshire Archive Service: Kirklees,Archival
WBE/34,,"Rental and accounts, 1723-1726","Rental and accounts, 1723-1726",,DD/WBE/34,West Yorkshire Archive Service: Kirklees,Archival
WBE/7,,"Writ and inquisition post mortem on John Beymond, 25 October 1543","John Beymond's inquisition post mortem, 1543",,DD/WBE/7,West Yorkshire Archive Service: Kirklees,Archival
WBL/116/2,,"Deposition of Thomas Hepworth in the case, Beaumont versus Dyson, 26 April 1576","Thomas Hepworth's deposition, 1576",,DD/WBL/116/2,West Yorkshire Archive Service: Kirklees,Archival
WBL/53/8,,"Depositions by the freeholders concerning common pasture in Lepton, [c.1630]","Freeholders' depositions for Lepton, c.1630",,DD/WBL/53/8,West Yorkshire Archive Service: Kirklees,Archival
WBM,,"Miscellaneous papers, 1379-1989","Miscellaneous papers, 1379-1989",,DD/WBM,West Yorkshire Archive Service: Kirklees,Archival
WBM/69,,Beaumont of Whitley: papers of family interest,Beaumont of Whitley: papers of family interest,,DD/WBM/69,West Yorkshire Archive Service: Kirklees,Archival
WBM/86,,"Papers relating to the case, Pilkington versus Beaumont, 18th-19th century",Pilkington vs. Beaumont,,DD/WBM/86,West Yorkshire Archive Service: Kirklees,Archival
WBR,,"Manor of Heaton, 1589-1813","Manor of Heaton, 1589-1813",,DD/WBR,West Yorkshire Archive Service: Kirklees,Archival
WBR/12/13,,"Crosland court proceedings, 1667","Crosland court proceedings, 1667",,DD/WBR/12/13,West Yorkshire Archive Service: Kirklees,Archival
WBR/12/4,,"Pains laid at Lepton manor court, 15 May 1578","Pains at Lepton manor court, 1578",,DD/WBR/12/4,West Yorkshire Archive Service: Kirklees,Archival
WBR/2/17,,"South Crosland manor court baron, 1657-1690","South Crosland court baron, 1657-90",,DD/WBR/II/17,West Yorkshire Archive Service: Kirklees,Archival
WCR1/168,,"Wakefield Court Rolls: Court Leet, 15 April 1640",Wakefield Court Rolls 15 April1640,,YAS/MD225/1/365 ,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR1/169,,"Wakefield Court Rolls: Court Leet, 15 April 1640",Wakefield Court Rolls 15 April1640,,YAS/MD225/1/365 ,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR1/25,,"Wakefield Court Rolls: Court Baron, 13 March 1640",Wakefield Court Rolls 13 March 1640,,YAS/MD225/1/365 ,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR1/82,,"Wakefield Court Rolls: Court Leet, 12 October 1639",Wakefield Court Rolls 12 October 1639,,YAS/MD225/1/365 ,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR10/15,,"Wakefield Court Rolls: Great Court Baron, 18 October 1790",Wakefield Court Rolls 18 October 1790,,YAS/MD225/1/519,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/10,,"Wakefield Court Rolls: Wakefield Court, 28 October 1608",Wakefield Court Rolls 28 October 1608,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/101,,"Wakefield Court Rolls: Wakefield Court Leet, 8 October 1608",Wakefield Court Rolls 8 October 1608,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/102,,"Wakefield Court Rolls: Wakefield Court Leet, 8 October 1608",Wakefield Court Rolls 8 October 1608,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/106,,"Wakefield Court Rolls: Wakefield Court Leet, 8 October 1608",Wakefield Court Rolls 8 October 1608,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/106-7,,"Wakefield Court Rolls: Wakefield Court Leet, 8 October 1608",Wakefield Court Rolls 8 October 1608,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/107,,"Wakefield Court Rolls: Wakefield Court Leet, 8 October 1608",Wakefield Court Rolls 8 October 1608,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/119,,"Wakefield Court Rolls: Halifax Court Leet, 10 October 1608",Wakefield Court Rolls 10 October 1608,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/121,,"Wakefield Court Rolls: Halifax Court Leet, 10 October 1608",Wakefield Court Rolls 10 October 1608,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/122,,"Wakefield Court Rolls: Halifax Court Leet, 10 October 1608",Wakefield Court Rolls 10 October 1608,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/145,,"Wakefield Court Rolls: Wakefield Court Leet, 29 April 1609",Wakefield Court Rolls 29 April 1609,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/157,,"Wakefield Court Rolls: Halifax Court Leet, 1 May 1609",Wakefield Court Rolls 1 May 1609,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/168,,"Wakefield Court Rolls: Halifax Court Leet, 1 May 1609",Wakefield Court Rolls 1 May 1609,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
WCR11/170,,"Wakefield Court Rolls: Brighouse Court Leet, 2 May 1609",Wakefield Court Rolls 2 May 1609,,YAS/MD225/1/334,"Special Collections, Brotherton Library, University of Leeds",Archival
